iter	RMSE
0	3258.468313
1	3252.255876
2	3246.818853
3	3240.518375
4	3239.251411
5	3232.444554
6	3230.911066
7	3225.863313
8	3221.035191
9	3219.730464
10	3218.809821
11	3217.908648
12	3213.46102
13	3208.999889
14	3203.488045
15	3199.455058
16	3198.336862
17	3190.531759
18	3186.124619
19	3181.742095
20	3176.391921
21	3172.797722
22	3170.204801
23	3167.111367
24	3166.176066
25	3163.692032
26	3161.204038
27	3160.188159
28	3158.415942
29	3155.414039
30	3152.55562
31	3150.914645
32	3149.226333
33	3145.622713
34	3144.816626
35	3142.458589
36	3140.231076
37	3139.482085
38	3135.887436
39	3134.784369
40	3132.75197
41	3131.496581
42	3129.059468
43	3128.569573
44	3126.018336
45	3125.635881
46	3121.425855
47	3120.030864
48	3118.70197
49	3117.48168
50	3117.157999
51	3116.825885
52	3116.468546
53	3114.191912
54	3110.905718
55	3107.524256
56	3105.518318
57	3103.859602
58	3103.380916
59	3102.703852
60	3101.211253
61	3100.352556
62	3097.443468
63	3097.078481
64	3095.74795
65	3094.616498
66	3093.690173
67	3089.875883
68	3085.091378
69	3082.018356
70	3081.458263
71	3080.090874
72	3078.711036
73	3075.885094
74	3073.210314
75	3070.824213
76	3070.222627
77	3069.280385
78	3068.023425
79	3067.840656
80	3065.284517
81	3062.485534
82	3061.224096
83	3057.794669
84	3057.291094
85	3056.480552
86	3055.380349
87	3055.239731
88	3054.774933
89	3053.246458
90	3052.493791
91	3050.033789
92	3047.191093
93	3045.050698
94	3044.044769
95	3043.13208
96	3042.502703
97	3042.119908
98	3041.575963
99	3040.982623
100	3040.116584
101	3039.861514
102	3039.093161
103	3038.750067
104	3036.767103
105	3034.094545
106	3033.656882
107	3026.596372
108	3025.619323
109	3022.55178
110	3020.359236
111	3019.772664
112	3018.962394
113	3018.528653
114	3018.440912
115	3018.024008
116	3009.37872
117	3008.973375
118	3008.236047
119	3005.815513
120	3003.388551
121	3002.8457
122	3002.034321
123	2999.977463
124	2999.448827
125	2997.382732
126	2997.321287
127	2997.040857
128	2996.698075
129	2996.020163
130	2994.255422
131	2993.732358
132	2987.465059
133	2987.286713
134	2986.768327
135	2986.294763
136	2986.094379
137	2984.226967
138	2983.456375
139	2981.694606
140	2980.311387
141	2978.620665
142	2976.96012
143	2975.375088
144	2974.353833
145	2972.770958
146	2970.994657
147	2969.289709
148	2968.811517
149	2968.548329
150	2968.077781
151	2967.687183
152	2967.474044
153	2966.01116
154	2965.411959
155	2964.936599
156	2959.103071
157	2958.066251
158	2957.713015
159	2957.384745
160	2957.026866
161	2955.578908
162	2955.007748
163	2954.427907
164	2954.205993
165	2953.848636
166	2953.648718
167	2953.460798
168	2953.283802
169	2952.925224
170	2951.253686
171	2950.43592
172	2949.989753
173	2948.687143
174	2945.361146
175	2945.167805
176	2944.71472
177	2944.25304
178	2943.013635
179	2941.775199
180	2941.629038
181	2941.469485
182	2941.066025
183	2940.65718
184	2934.738774
185	2930.308726
186	2930.103522
187	2929.820079
188	2929.432655
189	2927.935133
190	2927.596539
191	2927.472019
192	2927.014721
193	2926.645636
194	2925.590023
195	2919.958596
196	2919.833737
197	2919.683522
198	2919.551746
199	2919.449914
200	2919.302075
201	2918.963731
202	2918.693484
203	2918.366239
204	2918.276495
205	2917.966267
206	2917.657107
207	2917.462235
208	2914.493279
209	2914.374805
210	2912.868691
211	2907.521195
212	2906.043943
213	2905.954817
214	2905.83739
215	2905.745599
216	2905.672129
217	2905.500781
218	2905.055567
219	2901.405659
220	2901.302189
221	2901.13929
222	2900.984515
223	2900.835144
224	2897.441064
225	2897.297954
226	2894.683718
227	2893.165457
228	2893.031744
229	2892.840859
230	2891.429164
231	2891.076098
232	2886.006022
233	2885.90882
234	2885.814546
235	2885.69148
236	2885.447321
237	2885.366714
238	2884.317826
239	2877.134037
240	2877.021031
241	2872.39741
242	2872.312112
243	2872.204074
244	2870.863032
245	2870.781374
246	2866.514133
247	2864.771489
248	2861.732853
249	2858.826414
250	2858.60784
251	2858.507164
252	2858.430219
253	2858.147883
254	2856.939399
